Zaman_Adimi,Yil,Ay,Tarih,NDWI
177,2003,4,2003-04,-0.15613196639173668
178,2003,5,2003-05,-0.16194597936550872
179,2003,8,2003-08,-0.15321942730580604
180,2003,10,2003-10,-0.1555426581543819
181,2003,11,2003-11,-0.04801641586867305
182,2004,2,2004-02,-0.0776355454585172
183,2004,3,2004-03,-0.150235007644827
184,2004,5,2004-05,-0.13768563083631577
185,2004,6,2004-06,-0.15861488649459454
186,2004,7,2004-07,-0.14810782399759723
187,2004,8,2004-08,-0.1348128393180303
188,2004,9,2004-09,-0.13213013350037192
189,2004,10,2004-10,-0.15065730647033085
190,2005,1,2005-01,-0.11344137273593899
191,2005,2,2005-02,-0.09328327075511056
192,2005,3,2005-03,-0.16067676655976998
193,2005,5,2005-05,-0.14392008779925222
194,2005,7,2005-07,-0.15122809645050173
195,2005,8,2005-08,-0.15500552829127306
196,2005,9,2005-09,-0.1533129380784572
197,2005,10,2005-10,-0.12381319953685836
198,2006,2,2006-02,-0.09583079467316563
199,2006,3,2006-03,-0.16325619465734056
200,2006,4,2006-04,-0.15492957746478872
201,2006,5,2006-05,-0.14798206278026907
202,2006,6,2006-06,-0.15315649081209248
203,2006,7,2006-07,-0.13192163071442708
204,2006,8,2006-08,-0.1323868747311197
205,2006,9,2006-09,-0.14835752482811307
206,2006,11,2006-11,-0.15748567765714513
207,2006,12,2006-12,-0.171300516560316
208,2007,3,2007-03,-0.15886341620923475
209,2007,4,2007-04,-0.16132675727570497
210,2007,5,2007-05,-0.14965176283786222
211,2007,6,2007-06,-0.14675804657504754
212,2007,7,2007-07,-0.14859377631406598
213,2007,8,2007-08,-0.14719294311131045
214,2007,9,2007-09,-0.15338487648500848
215,2007,10,2007-10,-0.08574646829680387
216,2007,11,2007-11,-0.1230807743658211
217,2007,12,2007-12,-0.12799208704253215
218,2008,1,2008-01,-0.15905968554419173
219,2008,2,2008-02,-0.14571439518755508
220,2008,3,2008-03,-0.13554554710013633
221,2008,4,2008-04,-0.13631665977676727
222,2008,5,2008-05,-0.17439850663716813
223,2008,6,2008-06,-0.17031341353223606
224,2008,7,2008-07,-0.151238638388879
225,2008,9,2008-09,-0.15850099831055137
226,2008,10,2008-10,-0.11674359382460608
227,2008,11,2008-11,-0.13499591169255928
228,2009,3,2009-03,-0.11002228747302509
229,2009,4,2009-04,-0.1330649470946596
230,2009,5,2009-05,-0.1562868108067029
231,2009,6,2009-06,-0.161841620626151
232,2009,7,2009-07,-0.15194796012161493
233,2009,8,2009-08,-0.14083610913582095
234,2009,9,2009-09,-0.12453131232548863
235,2009,10,2009-10,-0.12903600015467306
236,2009,11,2009-11,-0.1225046170081787
237,2010,1,2010-01,-0.13599071848843955
238,2010,4,2010-04,-0.16969676527135966
239,2010,5,2010-05,-0.1466025616947752
240,2010,6,2010-06,-0.15825780648002055
241,2010,7,2010-07,-0.1486668820432907
242,2010,8,2010-08,-0.1433132573833539
243,2010,9,2010-09,-0.13041439751866413
244,2010,10,2010-10,-0.13785540535151733
245,2010,11,2010-11,-0.13084259478206037
246,2011,3,2011-03,-0.17768095778566984
247,2011,5,2011-05,-0.14558006903797088
248,2011,6,2011-06,-0.1518597314943878
249,2011,7,2011-07,-0.1484692444527666
250,2011,8,2011-08,-0.14511469513478353
251,2011,9,2011-09,-0.14726078519181968
252,2011,10,2011-10,-0.06001779318840249
253,2011,11,2011-11,-0.17098565478944933
254,2012,2,2012-02,-0.09253928139764861
255,2012,3,2012-03,-0.1784690366972477
256,2012,4,2012-04,-0.15356534436602579
257,2012,5,2012-05,-0.1642753280426061
258,2012,6,2012-06,-0.17115617958051654
259,2012,7,2012-07,-0.15098991683226615
260,2012,8,2012-08,-0.14923503283854067
261,2012,9,2012-09,-0.1299984910215784
262,2012,10,2012-10,-0.11985353946297803
263,2012,11,2012-11,-0.12087912087912088
264,2012,12,2012-12,-0.11012532839484905
265,2013,3,2013-03,-0.1817909104544773
266,2013,4,2013-04,-0.18247911165768438
267,2013,5,2013-05,-0.1681021456633424
268,2013,6,2013-06,-0.16768040850041302
269,2013,7,2013-07,-0.17920187085093542
270,2013,8,2013-08,-0.1746381805651275
271,2013,9,2013-09,-0.16378343744994395
272,2013,10,2013-10,-0.1608207823713737
273,2014,4,2014-04,-0.15440094728910259
274,2014,5,2014-05,-0.13178591247440632
275,2014,6,2014-06,-0.15633831814183308
276,2014,7,2014-07,-0.1630709426627794
277,2014,8,2014-08,-0.16302320968061892
278,2014,9,2014-09,-0.1520286588311061
279,2014,10,2014-10,-0.12334946280652834
280,2015,3,2015-03,-0.16503937007874014
281,2015,4,2015-04,-0.1559076869952232
282,2015,5,2015-05,-0.15476057387739892
283,2015,6,2015-06,-0.15339255057102336
284,2015,7,2015-07,-0.1616596235113331
285,2015,8,2015-08,-0.15914630521372095
286,2015,9,2015-09,-0.1648435126101489
287,2015,10,2015-10,-0.1419626730885009
288,2015,11,2015-11,-0.13585404322434885
289,2015,12,2015-12,-0.1199113818886735
290,2016,3,2016-03,-0.14922158403869407
291,2016,5,2016-05,-0.1466607825831127
292,2016,6,2016-06,-0.1568524688353985
293,2016,7,2016-07,-0.158438902459808
294,2016,8,2016-08,-0.1635511390269054
295,2016,9,2016-09,-0.1507062531616016
296,2016,10,2016-10,-0.1548011944051548
297,2016,11,2016-11,-0.15088057294829643
298,2017,1,2017-01,-0.1694373660154512
299,2017,2,2017-02,0.15471992404719925
300,2017,4,2017-04,-0.175991575991576
301,2017,5,2017-05,-0.15178439212201986
302,2017,6,2017-06,-0.1589406419680124
303,2017,7,2017-07,-0.1719613519305237
304,2017,8,2017-08,-0.16938630379211594
305,2017,9,2017-09,-0.15469591993841417
